FACULTADES;PROGRAMA ;CREDITOS 
Artes y humanidades;Artes visuales ;155
Artes y humanidades;Comunicación Social;158
Artes y humanidades;Derecho ;172
Artes y humanidades;Filosofia ;163
Artes y humanidades;Licenciatura en educacion artistica;158
Artes y humanidades;Musica;160
Ciencias agrarias ;Ingenieria Agronomica;164
Ciencias agrarias ;Medicina  veterinaria;164
Ciencias agrarias ;Zooctenia;164
Ciencias basicas;Biologia;164
Ciencias basicas;Geologia;163
Ciencias basicas;Fisica;168
Ciencias basicas;Microbiologia;164
Ciencias basicas;Matematica aplicada;162
Ciencias basicas;Quimica ;163
Ciencias de la educacion;Licenciatura en ciencias sociales ;160
Ciencias de la educacion;Licenciatura en educacion fisica  recreacion y deportes ;164
Ciencias de la educacion;Licenciatura en educacion infantil;164
Ciencias de la educacion;Licenciatura en Humanidades y lengua castellana ;164
Ciencias de la educacion;Licenciatura en lenguas extrangeras ingles frances ;164
Ciencias economicas y empresariales ;Administracion de empresas;149
Ciencias economicas y empresariales ;Economia;149
Ciencias contaducas y empresariales;Contaduria publica;163
Ingenierias y arquitecturas ;Arquitectura;156
Ingenierias y arquitecturas ;Diseño industrial;154
Ingenierias y arquitecturas ;Ingenieria civil;159
Ingenierias y arquitecturas ;Ingenieria ambiental ;164
Ingenierias y arquitecturas ;Ingenieria de alimentos ;164
Ingenierias y arquitecturas ;Ingenieria de sistemas ;164
Ingenierias y arquitecturas ;Ingenieria electrica;164
Ingenierias y arquitecturas ;Ingenieria electronica ;164
Ingenierias y arquitecturas ;Ingenieria en telecomunicaciones ;164
Ingenierias y arquitecturas ;Ingenieria industrial;145
Ingenierias y arquitecturas ;Ingenieria mecanica;164
Ingenierias y arquitecturas ;Ingenieria mecatronica ;163
Ingenierias y arquitecturas ;Ingenieria quimica ;163
Salud;Bacteorologia y laboratorio clinico;163
Salud;Enfermeria;148
Salud;Fisioterapia;164
Salud;Fonoaudiologia;147
Salud;Medicina;245
Salud;Nutricion y dietetica;163
Salud;Psicologia ;158
Salud;Programa  educacion continua Premedico;
Salud;Terapia ocupacional ;162
